target,gr_code,lddt,tm_score,gdt_ts,inf_all,TM_align,inf_stack,inf_wc,inf_nwc,lddt_no_checks,global_rmsd,clashscore,clashes_number,Z_lddt,Z_tm_score,Z_gdt_ts,Z_inf_all,Z_TM_align,Z_inf_stack,Z_inf_wc,Z_inf_nwc,Z_lddt_no_checks,Z_global_rmsd,Z_clashscore,Z_clashes_number,Z_CASP15,Z_CASP16_t33_g33_l33,Z_CASP16_t30_g30_l40,Z_CASP16_t25_g25_l50,Z_CASP16_t20_g20_l60,Z_topo,Z_rmsd_inf
R1205,Bhattacharya - 369,0.462,0.337,0.41,0.67,0.336,0.73,0.69,0.2,0.475,10.46,16.32,1.0,0.7092931741343671,0.5477607250872908,0.6643828723691705,0.40609916527977113,0.234370744746296,0.3198862828677676,0.018488615996373726,0.20623631094241743,0.578028974540046,0.427718696967457,-1.3279636302382016,0.043622810223968245,0.41640024744311405,0.6404789238636095,0.6473603488906852,0.6576824864312989,0.6680046239719125,0.6060717987282307,0.41690893112361405
R1205,CSSB_experimental - 286,0.468,0.334,0.4,0.66,0.343,0.72,0.65,0.18,0.468,11.5,0.0,0.0,0.8319482383078212,0.4715517995086957,0.3933642181393236,0.2088509992867396,0.44393582672747234,0.09330016583643264,-0.46961084630790645,0.05100467905027519,0.40943719029920017,-0.19333183684916375,0.7462571750723966,0.4362281022396822,0.4277794608369486,0.5656214186519468,0.5922541006175344,0.6322031235659153,0.6721521465142966,0.43245800882400964,0.007759581218787934
R1205,Diff - 033,0.0,0.023,0.04,0.0,0.013,0.0,0.0,0.0,0.143,17.11,32.07,103207.0,-8.73514676722159,-7.428773485472317,-9.36330733413521,-12.809527956253328,-9.435560895242261,-16.22090026041967,-8.401227108752474,-1.3460800079790038,-7.418038506597268,-3.543421735609976,-3.3297392235986134,-40519.17814496355,-8.40328434969205,-8.509075862276372,-8.531682952770893,-8.565593588512677,-8.59950422425446,-8.396040409803764,-8.176474845931653
R1205,GeneSilico - 338,0.457,0.322,0.37,0.65,0.339,0.74,0.6,0.2,0.457,12.56,0.0,0.0,0.6070806206564887,0.16671609719431554,-0.4196917445502215,0.011602833293708122,0.3241843513096573,0.5464723998991026,-1.0797351741882584,0.20623631094241743,0.14450724363501183,-0.8263256501622588,0.7462571750723966,0.4362281022396822,-0.0026233582465122474,0.11803499110019425,0.16693955405582372,0.24029639848926787,0.313653242922712,-0.12648782367795297,-0.4073614084342753
R1205,GeneSilicoRNA-server - S 306,0.053,0.265,0.34,0.63,0.273,0.71,0.67,0.2,0.465,9.86,121.12,5.0,-7.65169370035608,-1.2812534887989888,-1.2327477072397652,-0.3828934986923549,-1.6517149930842896,-0.13328595119490233,-0.22556111515576568,0.20623631094241743,0.3371835684816943,0.7860170818616624,-14.647714880026848,-1.5267983578388877,-2.064357046624821,-3.388564965464944,-3.8148778389540583,-4.454347149187728,-5.093816459421399,-1.257000598019377,0.20156179158465376
R1205,GromihaLab - 272,0.471,0.343,0.43,0.66,0.339,0.71,0.71,0.18,0.471,9.64,1.05,0.0,0.8932757703945471,0.7001785762444809,1.2064201808288673,0.2088509992867396,0.3241843513096573,-0.13328595119490233,0.2625383471485145,0.05100467905027519,0.4816908121167048,0.9173931563228701,0.6128054688483692,0.4362281022396822,0.7729177678539108,0.933291509155965,0.9292899352798232,0.9232875744656106,0.9172852136513979,0.9532993785366741,0.5631220778048048
R1205,GuangzhouRNA-human - 183,0.505,0.33,0.4,0.74,0.311,0.75,0.91,0.25,0.505,9.05,14.21,0.0,1.5883211340441203,0.36993989873723565,0.3933642181393236,1.7868363272309895,-0.5140759766150481,0.7730585169304375,2.703035658669921,0.5943153906727726,1.3005651927151052,1.2697199014688378,-1.0597892491594418,0.4362281022396822,0.5520441248554948,0.7838750836402265,0.8643196886806159,0.9849865962412,1.105653503801784,0.38165205843827965,1.5282781143499138
R1205,GuangzhouRNA-meta - 417,0.464,0.36,0.41,0.7,0.362,0.72,0.91,0.32,0.492,8.9,5.26,0.0,0.7501781955255185,1.1320291545231846,0.6643828723691705,0.9978436632588634,1.0127553349620924,0.09330016583643264,2.703035658669921,1.13762610229527,0.9874661648392462,1.359294497692389,0.0777276753215543,0.4362281022396822,0.8534450437531782,0.8488634074726245,0.8389948862779139,0.824192104485848,0.809389322693782,0.8982060134461776,1.1785690804756261
R1205,GuangzhouRNA_AI - 317,0.433,0.326,0.39,0.69,0.348,0.76,0.83,0.35,0.483,9.92,2.63,0.0,0.1164603639626724,0.2683279979657756,0.12234556390947522,0.8005954972658319,0.5936251709997395,0.9996446339617725,1.7268367340613577,1.370473550133483,0.7707052993867284,0.7501872433722416,0.41199242519697543,0.4362281022396822,0.3609698223064016,0.1690446419459744,0.16378621414764422,0.1558985724501489,0.1480109307526536,0.1953367809376254,0.7753913703190367
R1205,KiharaLab - 294,0.454,0.353,0.43,0.67,0.38,0.74,0.71,0.2,0.473,11.32,0.53,0.0,0.5457530885697617,0.9542083281731296,1.2064201808288673,0.40609916527977113,1.55163697434226,0.5464723998991026,0.2625383471485145,0.20623631094241743,0.5298598933283754,-0.08584232138090254,0.6788958376450304,0.4362281022396822,0.8937790384637698,0.9021271991905861,0.8664897881285037,0.8130336715353801,0.7595775549422563,1.0803142545009985,0.1601284219494343
R1205,LCBio - 189,0.476,0.353,0.41,0.69,0.35,0.77,0.6,0.35,0.476,10.76,0.53,0.0,0.9954883238724255,0.9542083281731296,0.6643828723691705,0.8005954972658319,0.6535009087086471,1.2262307509931074,-1.0797351741882584,1.370473550133483,0.6021135151458813,0.24856950452035534,0.6788958376450304,0.4362281022396822,0.7714436798693167,0.8713598414715752,0.8837726897116602,0.9023919620717877,0.9210112344319153,0.80929560027115,0.5245825008930937
R1205,MIEnsembles-Server - S 110,0.359,0.299,0.36,0.6,0.35,0.66,0.71,0.0,0.414,10.4,2.63,0.0,-1.3962854275099268,-0.4175523322415798,-0.6907103987800699,-0.9746379966714493,0.6535009087086471,-1.2662165363515747,0.2625383471485145,-1.3460800079790038,-0.8911280024159063,0.46354853545687774,0.41199242519697543,0.4362281022396822,-0.5683089581267214,-0.8348493861771922,-0.8909929903104656,-0.9752083965103758,-1.059423802710286,-0.5541313655108249,-0.2555447306072858
