#Model         Gr.Code  ICS(F1)   Prec.Iface  Recal.Iface  IPS        QSglob   QSbest   lDDT       ilDDT      GDT_TS     RMSD       TMscore    TMalign    GlobDockQ    BestDockQ  Mol.Size  Stoich.  MDL.Conts  REF.Conts  MDL.Clash  ICS_Interfaces                           ICS_perInterface

R0251TS110_5o  110s     0.062     0.111      0.043       0.083      0.019    0.036    0.124      0.016      0.005      95.940     0.114      0.046      -            -          4        A4       473        1211       1204       -                                        [0.221, 0.124, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.122, None, None, None, None, None, None, None, None, None, None, None] 
R0251TS110_1o  110s     0.035     0.054      0.026       0.068      0.004    0.007    0.114      0.007      0.004      93.953     0.124      0.041      -            -          4        A4       627        1211       2392       -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.07, 0.115, 0.101, None, None, None, None] 
R0251TS462_3o  462      0.035     0.054      0.026       0.068      0.004    0.007    0.114      0.007      0.004      93.953     0.124      0.041      -            -          4        A4       627        1211       2392       -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.07, 0.115, 0.101, None, None, None, None] 
R0251TS481_3o  481      0.019     0.041      0.012       0.053      0.000    0.001    0.090      0.003      0.004      89.949     0.077      0.032      -            -          3        A3       368        1211       1505       -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.146, 0.153] 
R0251TS304_2o  304s     0.008     0.014      0.006       0.018      0.002    0.003    0.094      0.002      0.004      90.501     0.096      0.027      -            -          3        A3       495        1211       675        -                                        [None, 0.047, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.045, None, None, None, None, None, None, None, None, None, None, None] 
R0251TS028_3o  028s     0.003     0.008      0.002       0.056      0.000    0.000    0.118      0.001      0.004      92.091     0.106      0.032      -            -          4        A4       284        1211       1204       -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.093, 0.069, 0.09, None, None] 
R0251TS304_3o  304s     0.003     0.002      0.027       0.079      0.000    0.000    0.000      0.000      0.004      104.534    0.078      0.028      -            -          3        A3       19752      1211       92017      -                                        [None, None, None, None, None, None, None, None, None, None, 0.046, None, None, 0.046, None, None, None, None, None, None, None, None, None, None, None, None, None, None] 
R0251TS481_4o  481      0.003     0.009      0.002       0.028      0.000    0.000    0.118      0.002      0.004      95.449     0.119      0.045      -            -          4        A4       245        1211       1232       -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 0.08, 0.024] 
R0251TS462_5o  462      0.003     0.008      0.002       0.056      0.000    0.000    0.118      0.001      0.004      92.091     0.106      0.032      -            -          4        A4       284        1211       1204       -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.093, 0.069, 0.09, None, None] 
R0251TS028_4o  028s     0.003     0.003      0.003       0.035      0.000    0.000    0.105      0.001      0.004      101.813    0.108      0.025      -            -          4        A4       2071       1211       3629       -                                        [None, None, None, None, None, None, None, None, None, None, 0.04, 0.0, 0.0, None, 0.0, None, None, None, None, None, None, None, None, None, None, 0.028, None, None] 
R0251TS262_4o  262      0.001     0.001      0.001       0.029      0.000    0.000    0.181      0.002      0.005      93.492     0.115      0.047      -            -          6        A6       882        1211       3          -                                        [None, None, 0.0, 0.034, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, None, 0.018, 0.018, 0.006, None, None] 
R0251TS262_1o  262      0.001     0.001      0.001       0.029      0.000    0.000    0.181      0.002      0.005      93.492     0.115      0.047      -            -          6        A6       882        1211       3          -                                        [None, None, 0.0, 0.034, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, None, 0.018, 0.018, 0.006, None, None] 
R0251TS462_1o  462      0.000     0.000      0.000       0.037      0.000    0.000    0.126      0.000      0.004      101.592    0.103      0.031      -            -          4        A4       543        1211       1202       -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 0.011, 0.0, None, None, None, None] 
R0251TS028_2o  028s     0.000     0.000      0.000       0.008      0.000    0.000    0.117      0.000      0.004      109.459    0.109      0.032      -            -          4        A4       357        1211       1305       -                                        [None, 0.0, 0.025, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 0.03, None, 0.0, None, None, None, None, None] 
R0251TS462_2o  462      0.000     0.000      0.000       0.008      0.000    0.000    0.117      0.000      0.004      109.459    0.109      0.032      -            -          4        A4       357        1211       1305       -                                        [None, 0.0, 0.025, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 0.03, None, 0.0, None, None, None, None, None] 
R0251TS262_3o  262      0.000     0.000      0.000       0.031      0.000    0.000    0.069      0.000      0.005      80.580     0.070      0.025      -            -          2        A2       249        1211       0          -                                        [None, None, None, None, None, None, None, None, None, None, None, 0.05, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None] 
R0251TS481_5o  481      0.000     0.000      0.000       0.044      0.000    0.000    0.170      0.000      0.004      118.482    0.146      0.039      -            -          6        A6       840        1211       2208       -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.026, 0.0, 0.011, 0.0, 0.036, None, None] 
R0251TS028_1o  028s     0.000     0.000      0.000       0.037      0.000    0.000    0.126      0.000      0.004      101.592    0.103      0.031      -            -          4        A4       543        1211       1202       -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 0.011, 0.0, None, None, None, None] 
R0251TS262_2o  262      0.000     0.000      0.000       0.029      0.000    0.000    0.137      0.000      0.004      102.901    0.107      0.035      -            -          4        A4       979        1211       2          -                                        [None, None, None, None, None, None, None, None, None, None, None, 0.019, 0.045, None, None, None, None, None, None, None, None, None, None, None, 0.028, 0.0, None, None] 
R0251TS110_3o  110s     0.000     0.000      0.000       0.013      0.000    0.001    0.122      0.000      0.005      97.370     0.115      0.042      -            -          4        A4       164        1211       1183       -                                        [None, 0.008, None, 0.048, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.017, None, None, None, None] 
R0251TS241_4o  241      0.000     0.000      0.000       0.043      0.000    0.000    0.095      0.000      0.005      102.394    0.082      0.025      -            -          3        A3       386        1211       445        -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, 0.151, None, 0.0, None, 0.0, None, None, None, None, None, None, None, None, None, None] 
R0251TS462_4o  462      0.000     0.000      0.000       0.035      0.000    0.000    0.117      0.000      0.004      99.831     0.102      0.040      -            -          4        A4       919        1211       2357       -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.057, 0.0, 0.024] 
R0251TS110_2o  110s     0.000     0.000      0.000       0.035      0.000    0.000    0.117      0.000      0.004      99.831     0.102      0.040      -            -          4        A4       919        1211       2357       -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.057, 0.0, 0.024] 
R0251TS304_1o  304s     0.000     0.000      0.000       0.041      0.000    0.000    0.099      0.000      0.005      104.010    0.082      0.033      -            -          3        A3       519        1211       360        -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.05, None, None, None, None, None, None, None, None, None, None, None, None, None] 
R0251TS241_2o  241      0.000     0.000      0.000       0.054      0.000    0.000    0.091      0.000      0.004      91.125     0.096      0.032      -            -          3        A3       628        1211       586        -                                        [None, None, None, None, None, None, None, None, None, None, None, 0.014, 0.048, None, None, None, None, None, None, None, None, None, None, None, None, 0.075, None, None] 
