interface_type,model,target,ics_naive_mean,ics_mean,ics_log10_mean,ips_naive_mean,ips_mean,ips_log10_mean,ilddt_naive_mean,ilddt_mean,ilddt_log10_mean
NA-containing,M0268TS110_5,M0268,0.0,0.0,0.0,0.0248,0.02170930232558139,0.023244722658555258,0.2497840242457387,0.24309883720930234,0.24688638697610432
all,M0268TS167_1,M0268,0.002272727272727273,0.0012953367875647669,0.0018692125475695918,0.015090909090909089,0.0113860103626943,0.01354385416471016,0.08683186072094867,0.08321761658031088,0.08534135145197203
NA-NA,M0268TS167_1,M0268,,,,,,,,,
NA-protein,M0268TS167_1,M0268,0.005,0.0029069767441860465,0.004148373769138189,0.03319999999999999,0.025552325581395346,0.030058095545618974,0.17303282730718228,0.1658720930232558,0.17022003814780826
protein-protein,M0268TS167_1,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.014997721899087343,0.016785046728971964,0.015729643121881843
NA-containing,M0268TS167_1,M0268,0.005,0.0029069767441860465,0.004148373769138189,0.03319999999999999,0.025552325581395346,0.030058095545618974,0.17303282730718228,0.1658720930232558,0.17022003814780826
all,M0268TS167_2,M0268,0.0,0.0,0.0,0.014272727272727272,0.010870466321243522,0.012751309516522303,0.08682031026555874,0.08631865284974093,0.08652541400937686
NA-NA,M0268TS167_2,M0268,,,,,,,,,
NA-protein,M0268TS167_2,M0268,0.0,0.0,0.0,0.0314,0.0243953488372093,0.02829918833429717,0.1679917992890347,0.16762209302325579,0.16752834904641978
protein-protein,M0268TS167_2,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.019177402745995425,0.020971962616822434,0.020092332782679592
NA-containing,M0268TS167_2,M0268,0.0,0.0,0.0,0.0314,0.0243953488372093,0.02829918833429717,0.1679917992890347,0.16762209302325579,0.16752834904641978
all,M0268TS167_3,M0268,0.0,0.0,0.0,0.010363636363636363,0.007461139896373057,0.009155581039530215,0.08721795630327041,0.08316839378238343,0.08561305785974001
NA-NA,M0268TS167_3,M0268,,,,,,,,,
NA-protein,M0268TS167_3,M0268,0.0,0.0,0.0,0.022799999999999997,0.016744186046511626,0.020319129718549062,0.17325155947791981,0.165,0.17011560528965144
